sub_name
gaming
The_Mueller
BlackPeopleTwitter
WTF
LifeProTips
ShittyLifeProTips
CrazyIdeas
leagueoflegends
DoesAnybodyElse
relationships
Advice
sex
SuicideWatch
AskWomen
AskEurope
ukpolitics
Romania
travel
europeanunion
Drugs
DotA2
legaladvice
AskHistorians
personalfinance
aww
